length,weight
8.4,5.9
13.7,32
15,40
16.2,51.5
17.4,70
18,100
18.7,78
19,80
19.6,85
20,85
21,110
21,115
21,125
21.3,130
22,120
22,120
22,130
22,135
22,110
22.5,130
22.5,150
22.7,145
23,150
23.5,170
24,225
24,145
24.6,188
25,180
25.6,197
26.5,218
27.3,300
27.5,260
27.5,265
27.5,250
28,250
28.7,300
30,320
32.8,514
34.5,556
35,840
36.5,685
36,700
37,700
37,690
39,900
39,650
39,820
40,850
40,900
40,1015
40,820
42,1100
43,1000
43,1100
43.5,1000
44,1000
